meter,rep,spore_nuclei,count
100,1,1,3
100,1,2,35
100,1,3,17
100,1,4,4
100,1,5,1
100,2,1,3
100,2,2,18
100,2,3,16
100,2,4,0
100,2,5,0
100,3,1,4
100,3,2,33
100,3,3,22
100,3,4,3
100,3,5,1
100,4,1,5
100,4,2,36
100,4,3,29
100,4,4,2
100,4,5,0
200,1,1,2
200,1,2,16
200,1,3,10
200,1,4,1
200,1,5,0
200,2,1,5
200,2,2,52
200,2,3,30
200,2,4,7
200,2,5,2
200,3,1,7
200,3,2,52
200,3,3,30
200,3,4,5
200,3,5,0
200,4,1,2
200,4,2,28
200,4,3,30
200,4,4,7
200,4,5,5
300,1,1,3
300,1,2,23
300,1,3,19
300,1,4,2
300,1,5,1
300,2,1,4
300,2,2,20
300,2,3,12
300,2,4,3
300,2,5,1
300,3,1,3
300,3,2,10
300,3,3,5
300,3,4,0
300,3,5,0
300,4,1,2
300,4,2,10
300,4,3,5
300,4,4,0
300,4,5,0
400,1,1,7
400,1,2,63
400,1,3,60
400,1,4,10
400,1,5,2
400,2,1,4
400,2,2,21
400,2,3,12
400,2,4,1
400,2,5,0
400,3,1,2
400,3,2,41
400,3,3,33
400,3,4,7
400,3,5,1
400,4,1,2
400,4,2,14
400,4,3,6
400,4,4,4
400,4,5,1
0,1,1,33
0,1,2,174
0,1,3,137
0,1,4,32
0,1,5,5
0,2,1,21
0,2,2,188
0,2,3,141
0,2,4,50
0,2,5,8
0,3,1,13
0,3,2,184
0,3,3,109
0,3,4,29
0,3,5,2
